rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals,assists,direct_goal_contributions,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_recieves,goals_per_90,assists_per_90,direct_goal_contributions_per_90,non_penalty_goals_per_90,direct_non_penalty_goal_contributions_per_90,expected_goals_per_90,expected_assisted_goals_per_90,expected_direct_goal_contributions_per_90,non_penalty_expected_goals_per_90,expected_non_penalty_direct_goal_contributions_per_90
482,Leonardo Ulloa,ar ARG,FW,Leicester City,31,1986,4,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,2,2,0,0,0,0,0,0.31,1.38,1.69,0.31,1.69
483,Leonardo Ulloa,ar ARG,FW,Brighton,31,1986,10,2,267,3,1,0,1,1,0,0,0,0,0.7,0.7,0.2,1,1,15,16,0.34,0,0.34,0.34,0.34,0.25,0.08,0.33,0.25,0.33
484,Antonio Valencia,ec ECU,DF,Manchester Utd,31,1985,31,31,"2,740",30.4,3,1,4,3,0,0,7,0,0.5,0.5,1.2,1.7,103,84,152,0.1,0.03,0.13,0.1,0.13,0.02,0.04,0.06,0.02,0.06
485,Virgil van Dijk,nl NED,DF,Southampton,26,1991,12,11,994,11,0,0,0,0,0,0,0,0,0.9,0.9,1,2,17,42,8,0,0,0,0,0,0.08,0.09,0.18,0.08,0.18
486,Virgil van Dijk,nl NED,DF,Liverpool,26,1991,14,14,"1,260",14,0,0,0,0,0,0,1,0,1.2,1.2,1.2,2.3,11,82,6,0,0,0,0,0,0.08,0.08,0.16,0.08,0.16
487,Jamie Vardy,eng ENG,FW,Leicester City,30,1987,37,37,"3,247",36.1,20,1,21,15,5,6,3,0,16.1,11.3,3,14.3,51,31,211,0.55,0.03,0.58,0.42,0.44,0.45,0.08,0.53,0.31,0.4
488,Jan Vertonghen,be BEL,DF,Tottenham,30,1987,36,36,"3,203",35.6,0,0,0,0,0,0,4,0,1,1,0.8,1.7,68,243,29,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
489,Nikola Vlašić,hr CRO,"MF,FW",Everton,19,1997,12,7,576,6.4,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,22,16,49,0,0,0,0,0,0.04,0.12,0.16,0.04,0.16
490,Sam Vokes,wls WAL,FW,Burnley,27,1989,30,7,998,11.1,4,1,5,4,0,0,3,0,2.8,2.8,1.3,4.2,3,17,62,0.36,0.09,0.45,0.36,0.45,0.25,0.12,0.38,0.25,0.38
491,Michel Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Molla Wagué,ml MLI,DF,Watford,26,1991,6,5,438,4.9,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,0,6,0,0.21,0,0.21,0.21,0.21,0.08,0,0.08,0.08,0.08
493,Theo Walcott,eng ENG,"FW,MF",Arsenal,28,1989,6,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,0,0
494,Theo Walcott,eng ENG,FW,Everton,28,1989,14,13,"1,152",12.8,3,3,6,3,0,0,2,0,2.5,2.5,2.4,4.8,35,33,99,0.23,0.23,0.47,0.23,0.47,0.19,0.18,0.38,0.19,0.38
495,Kyle Walker,eng ENG,DF,Manchester City,27,1990,32,32,"2,785",30.9,0,6,6,0,0,0,3,2,0.6,0.6,4.6,5.3,105,221,190,0,0.19,0.19,0,0.19,0.02,0.15,0.17,0.02,0.17
496,Kyle Walker-Peters,eng ENG,DF,Tottenham,20,1997,3,2,189,2.1,0,2,2,0,0,0,0,0,0,0,1.2,1.2,8,8,21,0,0.95,0.95,0,0.95,0,0.59,0.59,0,0.59
497,Jonathan Walters,ie IRL,FW,Burnley,33,1983,3,0,39,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,6,0,0,0,0,0,0.44,0,0.44,0.44,0.44
498,Aaron Wan-Bissaka,eng ENG,DF,Crystal Palace,19,1997,7,7,627,7,0,0,0,0,0,0,1,0,0,0,0.2,0.2,22,23,14,0,0,0,0,0,0,0.03,0.03,0,0.03
499,Victor Wanyama,ke KEN,MF,Tottenham,26,1991,18,8,846,9.4,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,23,65,14,0.11,0,0.11,0.11,0.11,0.05,0.02,0.07,0.05,0.07
500,Joel Ward,eng ENG,DF,Crystal Palace,27,1989,19,19,"1,613",17.9,0,1,1,0,0,0,4,0,0.2,0.2,0.9,1.1,15,79,50,0,0.06,0.06,0,0.06,0.01,0.05,0.06,0.01,0.06
501,Stephen Ward,ie IRL,DF,Burnley,31,1985,28,28,"2,460",27.3,1,1,2,1,0,0,1,0,0.3,0.3,1.4,1.8,47,87,91,0.04,0.04,0.07,0.04,0.07,0.01,0.05,0.07,0.01,0.07
502,James Ward-Prowse,eng ENG,"FW,MF",Southampton,22,1994,30,20,"1,716",19.1,3,3,6,3,0,0,3,0,2.2,2.2,2.8,5,9,66,102,0.16,0.16,0.31,0.16,0.31,0.11,0.15,0.26,0.11,0.26
503,Ben Watson,eng ENG,MF,Watford,32,1985,8,6,456,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,1,24,5,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05
504,Danny Welbeck,eng ENG,"FW,MF",Arsenal,26,1990,28,12,"1,194",13.3,5,2,7,5,0,0,1,0,5.5,5.5,1.4,7,30,23,117,0.38,0.15,0.53,0.38,0.53,0.42,0.11,0.52,0.42,0.52
505,Nahki Wells,bm BER,"FW,MF",Burnley,27,1990,9,0,55,0.6,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,2,1,5,0,0,0,0,0,0.95,0,0.95,0.95,0.95
506,Ashley Westwood,eng ENG,MF,Burnley,27,1990,19,12,"1,111",12.3,0,1,1,0,0,0,2,0,0.6,0.6,1,1.6,8,69,6,0,0.08,0.08,0,0.08,0.05,0.08,0.13,0.05,0.13
507,Dean Whitehead,eng ENG,MF,Huddersfield,35,1982,4,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
508,Georginio Wijnaldum,nl NED,MF,Liverpool,26,1990,33,27,"2,387",26.5,1,2,3,1,0,0,1,0,2.8,2.8,1.2,4,49,116,84,0.04,0.08,0.11,0.04,0.11,0.11,0.05,0.15,0.11,0.15
509,Ashley Williams,wls WAL,DF,Everton,32,1984,24,20,"1,834",20.4,1,0,1,1,0,0,3,1,0.8,0.8,0.3,1.2,2,39,1,0.05,0,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06
510,Danny Williams,us USA,MF,Huddersfield,28,1989,20,11,"1,124",12.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,17,27,16,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
511,Willian,br BRA,"MF,FW",Chelsea,28,1988,36,20,"1,890",21,6,7,13,5,1,1,1,0,5.5,4.7,5.3,10,108,131,210,0.29,0.33,0.62,0.24,0.57,0.26,0.25,0.51,0.22,0.48
512,Joe Willock,eng ENG,MF,Arsenal,17,1999,2,1,82,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,3,0,0,0,0,0,0.09,0,0.09,0.09,0.09
513,Jack Wilshere,eng ENG,MF,Arsenal,25,1992,20,12,"1,193",13.3,1,3,4,1,0,0,6,0,1.1,1.1,2.6,3.7,62,108,39,0.08,0.23,0.3,0.08,0.3,0.08,0.19,0.28,0.08,0.28
514,Callum Wilson,eng ENG,FW,Bournemouth,25,1992,28,23,"1,981",22,8,2,10,8,0,0,0,0,7.6,7.6,1.5,9.1,34,39,170,0.36,0.09,0.45,0.36,0.45,0.34,0.07,0.41,0.34,0.41
515,Kevin Wimmer,at AUT,DF,Stoke City,24,1992,17,14,"1,323",14.7,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,3,40,1,0,0,0,0,0,0,0.01,0.02,0,0.02
516,Harry Winks,eng ENG,MF,Tottenham,21,1996,16,9,774,8.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,14,69,17,0,0.12,0.12,0,0.12,0.01,0.06,0.07,0.01,0.07
517,Chris Wood,nz NZL,FW,Burnley,25,1991,24,20,"1,624",18,10,1,11,10,0,0,1,0,7,7,0.6,7.6,15,16,117,0.55,0.06,0.61,0.55,0.61,0.39,0.03,0.42,0.39,0.42
518,Ben Woodburn,wls WAL,FW,Liverpool,17,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
519,Granit Xhaka,ch SUI,MF,Arsenal,24,1992,38,37,"3,260",36.2,1,7,8,1,0,0,10,0,2.4,2.4,3.4,5.8,67,424,64,0.03,0.19,0.22,0.03,0.22,0.07,0.09,0.16,0.07,0.16
520,Claudio Yacob,ar ARG,MF,West Brom,30,1987,16,9,903,10,0,0,0,0,0,0,5,0,0.5,0.5,0,0.5,2,28,3,0,0,0,0,0,0.05,0,0.05,0.05,0.05
521,DeAndre Yedlin,us USA,DF,Newcastle Utd,24,1993,34,31,"2,845",31.6,0,2,2,0,0,0,5,0,0.2,0.2,2,2.2,44,74,128,0,0.06,0.06,0,0.06,0,0.06,0.07,0,0.07
522,Maya Yoshida,jp JPN,DF,Southampton,28,1988,24,23,"2,051",22.8,2,0,2,2,0,0,3,2,2,2,0.4,2.4,7,58,6,0.09,0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11
523,Ashley Young,eng ENG,DF,Manchester Utd,32,1985,30,28,"2,442",27.1,2,4,6,2,0,0,7,0,0.8,0.8,3.6,4.4,90,103,113,0.07,0.15,0.22,0.07,0.22,0.03,0.13,0.16,0.03,0.16
524,Pablo Zabaleta,ar ARG,"DF,MF",West Ham,32,1985,37,37,"3,289",36.5,0,1,1,0,0,0,9,0,0.4,0.4,0.9,1.3,26,145,95,0,0.03,0.03,0,0.03,0.01,0.03,0.04,0.01,0.04
525,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,24,1992,29,28,"2,549",28.3,9,3,12,9,0,0,5,0,9.2,9.2,4.7,13.9,173,96,283,0.32,0.11,0.42,0.32,0.42,0.33,0.17,0.49,0.33,0.49
526,Davide Zappacosta,it ITA,"DF,MF",Chelsea,25,1992,22,12,"1,098",12.2,1,1,2,1,0,0,0,0,1.4,1.4,1.3,2.7,64,22,124,0.08,0.08,0.16,0.08,0.16,0.11,0.11,0.22,0.11,0.22
527,Marvin Zeegelaar,nl NED,DF,Watford,26,1990,12,12,994,11,0,1,1,0,0,0,4,1,0,0,1,1,30,54,44,0,0.09,0.09,0,0.09,0,0.09,0.09,0,0.09
528,Oleksandr Zinchenko,ua UKR,DF,Manchester City,20,1996,8,6,532,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,9,57,49,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09
529,Kurt Zouma,fr FRA,DF,Stoke City,22,1994,34,32,"2,888",32.1,1,0,1,1,0,0,1,0,1.3,1.2,0.4,1.6,23,86,11,0.03,0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05
